topic_id	en_slug	en_exists	ua_tpost_slug	ua_words	ua_title	ru_tpost_slug	ru_words	ru_title	notes
fulfillment-vs-own-warehouse-2025	fulfillment-vs-own-warehouse-2025	YES	d0kknsayu1-fulfillment-chi-vlasnii-sklad-u-2025-str	692	Fulfillment vs власний склад 2025: вибір для e-commerce, логістика, зберігання	pp8gsej3c1-fulfilment-protiv-sobstvennogo-sklada-v	644	Фулфилмент или свой склад 2025: выбор для e-commerce, логистика, хранение	
how-fulfillment-works-ukraine-2025	how-fulfillment-works-ukraine-2025	YES	699f3hz0v1-yak-pratsyu-fulflment-v-ukran-2025-ekspe	348	Фулфілмент в Україні 2025 — Склади, логістика, автоматизація | MTP Group	keantd63p1-kak-rabotaet-fulfilment-v-ukraine-2025-o	297	Как работает фулфилмент в Украине — 2025 | MTP Group	
how-to-choose-fulfillment-operator	how-to-choose-fulfillment-operator	YES	lgl2mu2gb1-yak-vibrati-fulflment-operatora-v-ukran	924	Як вибрати фулфілмент-оператора в Україні: чек-лист для перевірки сервісу	2k76ljgp91-kak-vibrat-fulfilment-operatora-v-ukrain	941	Как выбрать фулфилмент-оператора в Украине: чек-лист для проверки сервиса	
how-to-handle-customer-reviews	how-to-handle-customer-reviews	YES	1z05mldbb1-yak-nternet-magazinu-pratsyuvati-z-vdguk	1029	Як інтернет-магазину працювати з відгуками: покроковий алгоритм	mjrp3rx3z1-kak-internet-magazinu-rabotat-s-otzivami	1043	Как интернет-магазину работать с отзывами: пошаговый алгоритм	
how-to-start-online-store-ukraine	how-to-start-online-store-ukraine	YES	k6e9sg89y1-yak-vdkriti-nternet-magazin-v-ukran-osno	387	Як відкрити інтернет-магазин в Україні: основні нюанси і можливості для успіху	yzhv774pa1-kak-otkrit-internet-magazin-v-ukraine-os	390	Как открыть интернет-магазин в Украине: основные нюансы и возможности успеха	
mtp-group-best-fulfillment-operators	mtp-group-best-fulfillment-operators	YES	hmh91dbl11-mtp-group-fulfillment-naikrasch-fulflmen	256	MTP Group Fulfillment - найкращі фулфілмент-оператори				
mtp-group-fast-product-liquidation	mtp-group-fast-product-liquidation	YES	2lpu5l5sa1-mtp-group-dinii-v-ukran-servs-z-shvidko	1168	MTP GROUP – ЄДИНИЙ В УКРАЇНІ СЕРВІС ЗІ ШВИДКОЇ РЕАЛІЗАЦІЇ ТОВАРНИХ ЗАЛИШКІВ				
online-buyer-behavior-insights	online-buyer-behavior-insights	YES	elrpmubzt1-scho-potrbno-znati-pro-povednku-pokuptsv	911	Що потрібно знати про поведінку покупців в інтернеті, щоб збільшити продажі у 20	2b5uuyxzx1-chto-nuzhno-znat-o-povedenii-pokupatelei	930	Что нужно знать о поведении покупателей в интернете, чтобы увеличить продажи в 2	
online-store-during-wartime	online-store-during-wartime	YES	jghdgatid1-yak-vdkriti-nternet-magazin-pd-chas-vini	1189	Як відкрити інтернет-магазин під час війни	okobnaenu1-kak-otkrit-internet-magazin-vo-vremya-vo	1176	Как открыть интернет-магазин во время войны	
peak-season-logistics-mistakes	peak-season-logistics-mistakes	YES	bl9h476gp1-top-5-pomilok-u-logstits-pd-chas-sezonni	309	Топ-5 помилок у логістиці на сезонні розпродажі	do95mhtv41-naibolee-chastie-oshibki-v-logistike-vo	271	Ошибки логистики в сезон распродаж: топ-5	
prepare-online-store-march-8	prepare-online-store-march-8	YES	13ny6p72v1-yak-pdgotuvati-nternet-magazin-do-8-bere	866	Як підготувати інтернет-магазин до 8 березня за допомогою фулфілмент-сервісу	ka4rkudet1-kak-podgotovit-internet-magazin-k-8-mart	886	Как подготовить интернет-магазин к 8 марта при помощи фулфилмент-сервиса	
prepare-store-for-holidays	prepare-store-for-holidays	YES	ldos1bvrh1-yak-pdgotuvati-nternet-magazin-do-novorc	863	Як підготувати інтернет-магазин до новорічних свят: 5 кроків для товарного бізне	im5rupthp1-kak-podgotovit-internet-magazin-k-novogo	883	Как подготовить интернет-магазин к новогодним праздникам: 5 шагов для товарного 	
prepare-store-valentines-day	prepare-store-valentines-day	YES	zmck0cika1-yak-nternet-magazinu-pdgotuvatisya-do-dn	933	Як інтернет-магазину підготуватися до Дня Святого Валентина: 10 порад для збільш	l7otgimlh1-kak-internet-magazinu-podgotovitsya-k-dn	962	Как интернет-магазину подготовиться к Дню Святого Валентина: 10 советов для увел	
product-business-ukraine-guide	product-business-ukraine-guide	YES	xz8vfk1jg1-tovarnii-bznes-v-ukran-osoblivost-ta-per	452	Товарний бізнес в Україні 2026 — з чого почати, ідеї	8emi42xu61-tovarnii-biznes-v-ukraine-osobennosti-i	461	Товарный бизнес в Украине: особенности и преимущества	
protect-store-from-fraud	protect-store-from-fraud	YES	53yjx8x051-yak-nternet-magazinu-zahistitisya-vd-sha	1291	Як інтернет-магазину захиститися від шахрайства з боку покупця	1sn3nscy81-moshennichestvo-klientov-pri-pokupke-v-i	1275	Мошенничество клиентов при покупке в интернете: как бизнесу защитить себя	
reduce-product-returns-ecommerce	reduce-product-returns-ecommerce	YES	8mcui07l11-yak-skorotiti-klkst-povernen-tovaru-v-nt	1089	Як скоротити кількість повернень товару в інтернет-магазин: 8 дієвих порад	o5x60a9nk1-kak-sokratit-kolichestvo-vozvratov-tovar	1107	Как сократить количество возвратов товара в интернет-магазин: 8 действенных сове	
replace-russian-services-ukraine-checklist	replace-russian-services-ukraine-checklist	YES	1zah21gka1-chim-zamniti-rosisk-servsi-chek-list-dly	488	Чим замінити російські сервіси: чек-лист для інтернет-магазинів	a5zlsrmfs1-chem-zamenit-rossiiskie-servisi-chek-lis	496	Чем заменить российские сервисы: чек-лист для интернет-магазинов	
top-5-logistics-mistakes-ecommerce	top-5-logistics-mistakes-ecommerce	YES	gdf6pzul31-top-5-pomilok-yak-vbivayut-logstiku-nter	674	ТОП-5 помилок логістики інтернет-магазину: оптимізація, склад, доставка	xh1rdimut1-5-glavnih-oshibok-v-logistike-internet-m	661	5 ошибок в логистике интернет-магазина: склад, доставка, управление заказами	
what-is-fulfillment-7-services	what-is-fulfillment-7-services	YES	l69lld8l41-scho-take-fulflment-dlya-nternet-magazin	903	Що таке фулфілмент для інтернет-магазинів: 7 основних послуг оператора	m2l0va78z1-chto-takoe-fulfilment-dlya-internet-maga	897	Что такое фулфилмент для интернет- магазинов: 7 основных услуг оператора	
what-is-sku-article-number	what-is-sku-article-number	YES	2fz7njsgn1-scho-take-artikul-yak-pravilno-iogo-stvo	256	Артикул — що це, як створити та навіщо потрібен | MTP				
what-is-sla-in-logistics	what-is-sla-in-logistics	YES	s7non1f0y1-scho-take-sla-v-logstits-chomu-tse-klyuc	607	SLA в логістиці — що це, приклад, як працює | 2026	pdjm77ogc1-chto-takoe-sla-v-logistike-i-pochemu-eto	689	SLA в логистике: Гарантия качества и доверия для вашего бизнеса	
where-online-store-loses-money	where-online-store-loses-money	YES	psumj0frr1-dohd-a-pributku-nema-de-vtracha-grosh-nt	749	Дохід є, а прибутку немає: де втрачає гроші інтернет-магазин	6bcn9jn3b1-dohod-est-a-pribili-net-gde-teryaet-deng	758	Доход есть, а прибыли нет: где теряет деньги интернет-магазин	
why-audit-warehouse-in-summer	why-audit-warehouse-in-summer	YES	5vlhyoip61-chomu-lipen-chas-perevriti-vash-sklad-ch	157	Липень — ідеальний час для аудиту фулфілменту	fxaeldo931-pochemu-iyul-luchshee-vremya-proverit-v	193	Почему июль — лучшее время проверить ваш фулфилмент | MTP Group	
